country,ghg_tonnes_per_capita,year
Austria,7.7,2024
Belgium,9.1,2024
Bulgaria,7.2,2024
Croatia,6.9,2024
Cyprus,6.9,2024
Czechia,9.2,2024
Denmark,6.4,2024
Estonia,10.3,2024
Finland,8.7,2024
France,5.5,2024
Germany,8.1,2024
Greece,6.9,2024
Hungary,6.3,2024
Ireland,11.1,2024
Italy,6.3,2024
Latvia,6.2,2024
Lithuania,7.5,2024
Luxembourg,11.9,2024
Malta,3.9,2024
Netherlands,8.1,2024
Poland,9.5,2024
Portugal,5.0,2024
Romania,5.3,2024
Slovakia,7.2,2024
Slovenia,8.1,2024
Spain,5.8,2024
Sweden,5.0,2024
