country,recycling_rate_percent,circular_material_use_rate_percent,year
Austria,62.8,14.2,2023
Belgium,55.8,21.8,2023
Bulgaria,16.7,4.9,2023
Croatia,36.0,6.1,2023
Cyprus,15.8,5.4,2023
Czechia,43.5,13.6,2023
Denmark,46.6,9.3,2023
Estonia,37.9,20.5,2023
Finland,44.8,2.6,2023
France,40.3,16.9,2023
Germany,68.7,14.5,2023
Greece,17.4,5.2,2023
Hungary,33.4,6.8,2023
Ireland,41.9,2.1,2023
Italy,50.8,21.1,2023
Latvia,50.6,6,2023
Lithuania,49.3,4.1,2023
Luxembourg,56.5,10.1,2023
Malta,17.4,19.5,2023
Netherlands,57.9,32,2023
Poland,27.6,7.8,2023
Portugal,30.6,3,2023
Romania,12.4,1.5,2023
Slovakia,50.3,10.6,2023
Slovenia,59.8,9.9,2023
Spain,43.3,8.2,2023
Sweden,39.4,10.1,2023
